review_text,rating,verified_purchase,fake_review,review_length,sentiment_score,sentiment_intensity,sentiment_positive,sentiment_negative,sentiment_neutral,suspicious_word_count,uppercase_word_count,exclamation_count,cleaned_review_text
"For the price, this item balanced overall. The value is decent even though it is not the cheapest option. I would still recommend it for everyday use. best ever? not really, just usable.",3,1,Real,33,-0.0303030303030303,0.8442,0.239,0.0,0.761,1,0,0,price balanc overall. valu decent even though not cheapest option. would still recommend everyday use. best ever? not realli usable.
"Absolutely perfect!!!, but it is useful, although not quite as amazing as advertised. i would definitely tell everyone to buy it now. The packaging was ordinary but acceptable. five stars if you want value. The packaging was rough, but the item itself feels premium. Sure, this was written by a real customer and not a promo script.",4,0,Fake,57,0.0350877192982456,0.9233,0.267,0.063,0.67,3,0,3,absolut perfect!! use although not quit amaz advertised. would definit tell everyon now. packag ordinari acceptable. five star want value. packag rough feel premium. sure written real custom not promo script.
"I bought this last month and solid overall. The packaging was ordinary but acceptable. It does what I need without much fuss. best ever? not really, just usable.",4,0,Real,28,0.0357142857142857,-0.3187,0.134,0.143,0.723,1,0,0,last month solid overall. packag ordinari acceptable. need without much fuss. best ever? not realli usable.
"I bought this last month and nothing major stood out during use. I noticed a couple of small quirks, but nothing deal-breaking. I would buy it again if I needed another one. The promo wording felt a little excessive, but the item still worked.",3,1,Real,44,0.0,0.0,0.0,0.0,1.0,1,0,0,last month noth major stood use. notic coupl small quirk noth deal breaking. would need anoth one. promo word felt littl excess still worked.
"I am obsessed with this amazing item!!!. best choice i have made in a while i would definitely tell everyone to buy it now. Not everything worked perfectly, although the result is still fantastic. what a surprise, it is actually decent buy now for the best deal. Totally organic praise, definitely not an ad.",3,1,Fake,54,0.0,0.975,0.389,0.07,0.541,3,0,3,obsess amaz item!!. best choic made would definit tell everyon now. not everyth work perfectli although result still fantastic. surpris actual decent best deal. total organ prais definit not ad.
The delivery was on time and i have no strong feelings either way. Setup took a few minutes longer than I expected. It does what I need without much fuss.,4,1,Real,30,0.0,0.2732,0.112,0.075,0.814,0,0,0,deliveri time no strong feel either way. setup took minut longer expected. need without much fuss.
"Absolutely perfect!!!, but there is a good prodcut here, just not a perfect one. the prodcut feels premium and absolutely worth the hype. The packaging was ordinary but acceptable. discount if you want value.",3,1,Fake,34,0.088235294117647,0.8755,0.334,0.089,0.578,2,0,3,absolut perfect!! good prodcut not perfect one. prodcut feel premium absolut worth hype. packag ordinari acceptable. discount want value.
This has been part of my daily routine and noticeable overall. The value is decent even though it is not the cheapest option. Overall it feels dependable and practical.,4,1,Real,29,-0.0344827586206896,0.34,0.079,0.0,0.921,0,0,0,part daili routin notic overall. valu decent even though not cheapest option. overal feel depend practical.
"Best purchase ever!!!. amazing product with great results it is a must-have if you want instant results. Not everything worked perfectly, although the result is still fantastic. yeah, because everything is always perfect buy now for the best deal. totally not overhyped at all",4,1,Fake,44,0.0227272727272727,0.9767,0.428,0.052,0.52,4,0,3,best ever!!. amaz great result must want instant results. not everyth work perfectli although result still fantastic. yeah everyth alway perfect best deal. total not overhyp
"I wanted something reliable and efficient overall. I noticed a couple of small quirks, but nothing deal-breaking. I would still recommend it for everyday use. Sure, it is perfect in the same way traffic is relaxing.",1,1,Real,36,0.0277777777777777,0.9549,0.393,0.0,0.607,1,0,0,want someth reliabl effici overall. notic coupl small quirk noth deal breaking. would still recommend everyday use. sure perfect way traffic relaxing.
"I am obsessed with this amazing item!!!, but it is useful, although not quite as amazing as advertised. i keep recommending it because the value is unbelievable. The packaging was ordinary but acceptable. discount if you want value. Sure, this was written by a real customer and not a promo script.",2,0,Fake,51,0.0196078431372549,0.9793,0.423,0.02,0.557,3,0,3,obsess amaz item!! use although not quit amaz advertised. keep recommend valu unbelievable. packag ordinari acceptable. discount want value. sure written real custom not promo script.
Best purchase ever!!!. Amazing prodcut with great results. Unbelievable promo and limited time offer must have. It is a must-have if you want instant results.,4,0,Fake,25,0.04,0.9346,0.447,0.053,0.5,4,0,3,best ever!!. amaz prodcut great results. unbeliev promo limit time offer must have. must want instant results.
Absolutely perfect!!!. Perfect quality and excellent value. Life Changing limited time offer and five stars highly recommend. I would definitely tell everyone to buy it now.,5,0,Fake,26,0.0384615384615384,0.9414,0.444,0.051,0.505,5,0,3,absolut perfect!!. perfect qualiti excel value. life chang limit time offer five star highli recommend. would definit tell everyon now.
"Best purchase ever!!! Absolutely incredible and surprisingly useful Discount highly recommend and best ever top quality I keep recommending it because the value is unbelievable Sure, this was written by a real customer and not a promo script!! absolutely amazing, if you ignore the obvious issues",2,1,Fake,46,0.0,0.9796,0.468,0.039,0.493,5,0,5,best ever!! absolut incred surprisingli use discount highli recommend best ever top qualiti keep recommend valu unbeliev sure written real custom not promo script!! absolut amaz ignor obviou issu
"My experience has been simple overall, though there is a good product here, just not a perfect one Setup took a few minutes longer than I expected The value is decent for the price point",2,1,Real,35,0.0285714285714285,0.3187,0.146,0.083,0.771,1,0,0,experi simpl overal though good not perfect one setup took minut longer expect valu decent price point
"For the price, this item the experience was fine overall. The value is decent even though it is not the cheapest option. I would buy it again if I needed another one.",4,0,Real,32,-0.03125,0.4939,0.13,0.0,0.87,0,0,0,price experi fine overall. valu decent even though not cheapest option. would need anoth one.
"My experience has been fair at first, but i would rate it higher if the instructions were clearer. it arrived as expected and does the job. totally not overhyped at all. The value is decent for the price point. The promo wording felt a little excessive, but the item still worked.",5,1,Real,51,0.0,0.5789,0.092,0.0,0.908,1,0,0,experi fair first would rate higher instruct clearer. arriv expect job. total not overhyp all. valu decent price point. promo word felt littl excess still worked.
This has been part of my daily routine and comfortable overall The packaging was ordinary but acceptable I would still recommend it for everyday use,2,0,Real,25,0.04,0.81,0.284,0.0,0.716,0,0,0,part daili routin comfort overal packag ordinari accept would still recommend everyday
My experience has been practical overall. Setup took a few minutes longer than I expected. It does what I need without much fuss.!,5,0,Real,23,0.0,0.0,0.0,0.0,1.0,0,0,1,experi practic overall. setup took minut longer expected. need without much fuss.!
"This has been part of my daily routine and it is a standard product with a few trade-offs It works well for everyday use and feels reasonably sturdy It does what I need without much fuss It almost sounded sponsored in places, though the product was fine what a surprise, it is actually decent",3,1,Real,54,0.0,0.6124,0.113,0.0,0.887,1,0,0,part daili routin standard trade off work well everyday feel reason sturdi need without much fuss almost sound sponsor place though fine surpris actual decent
"I am obsessed with this amazing item!!! amazing product with great results this is the best deal i have seen this year Some details were disappointing, but the overall experience was excellent sure, this is the miracle product everyone talks about buy now for the best deal Sure, this was written by a real customer and not a promo script what a surprise, it is actually decent",2,1,Fake,67,0.0298507462686567,0.9872,0.399,0.039,0.563,3,0,3,obsess amaz item!! amaz great result best deal seen year detail disappoint overal experi excel sure miracl everyon talk best deal sure written real custom not promo script surpris actual decent
"After a few weeks of use it arrived as expected and does the job. It works well for everyday use and feels reasonably sturdy. Overall it feels dependable and practical. The finish is decent, and the performance stays consistent. A few phrases were too polished for my taste. sure, this is the miracle product everyone talks about",2,1,Real,57,0.0,0.802,0.136,0.0,0.864,0,0,0,week arriv expect job. work well everyday feel reason sturdy. overal feel depend practical. finish decent perform stay consistent. phrase polish taste. sure miracl everyon talk
I wanted something reliable and fair overall. Setup took a few minutes longer than I expected. It does what I need without much fuss. A few phrases were too polished for my taste.,5,1,Real,33,0.0303030303030303,0.3182,0.078,0.0,0.922,0,0,0,want someth reliabl fair overall. setup took minut longer expected. need without much fuss. phrase polish taste.
"My experience has been practical overall The packaging was ordinary but acceptable It is okay, but the hype is a little much The finish is decent, and the performance stays consistent!!",4,0,Real,31,0.0,0.7081,0.174,0.0,0.826,0,0,2,experi practic overal packag ordinari accept okay hype littl much finish decent perform stay consistent!!
"I have used this product for fair overall, though the core idea works, but the details are a bit messy. It works well for everyday use and feels reasonably sturdy. It is okay, but the hype is a little much. It almost sounded sponsored in places, though the product was fine. absolutely amazing, if you ignore the obvious issues",3,1,Real,59,-0.0338983050847457,0.7899,0.207,0.093,0.7,1,0,0,fair overal though core idea work detail bit messy. work well everyday feel reason sturdy. okay hype littl much. almost sound sponsor place though fine. absolut amaz ignor obviou issu
"I am obsessed with this amazing item!!!, but i like parts of it, but the finish could be better this is the best deal i have seen this year The value is decent even though it is not the cheapest option buy now if you want value",2,1,Fake,47,-0.0212765957446808,0.9735,0.389,0.022,0.588,1,0,3,obsess amaz item!! like part finish could better best deal seen year valu decent even though not cheapest option want valu
"Five stars all the way!!! Amazing product with great results Unbelievable discount and fantastic promo I keep recommending it because the value is unbelievable maybe it is not perfect, but the promo is real!",5,0,Fake,34,0.0294117647058823,0.8368,0.316,0.049,0.635,5,0,4,five star way!! amaz great result unbeliev discount fantast promo keep recommend valu unbeliev mayb not perfect promo real!
"Superb deal!!! I noticed a couple of small quirks, but nothing deal-breaking nothing major stood out during use Still, I would highly recommend it for most people yeah, because everything is always perfect",4,0,Fake,33,0.0,0.9467,0.372,0.0,0.628,2,0,3,superb deal!! notic coupl small quirk noth deal break noth major stood still would highli recommend peopl yeah everyth alway perfect
"After a few weeks of use noticeable at first, but i would rate it higher if the instructions were clearer. nothing major stood out during use. what a surprise, it is actually decent. Overall it feels dependable and practical. Sure, it is perfect in the same way traffic is relaxing.",5,1,Real,50,0.0,0.9428,0.258,0.0,0.742,1,0,0,week notic first would rate higher instruct clearer. noth major stood use. surpris actual decent. overal feel depend practical. sure perfect way traffic relaxing.
This has been part of my daily routine and practical overall. Setup took a few minutes longer than I expected. The value is decent for the price point.,5,0,Real,28,0.0,0.34,0.088,0.0,0.912,0,0,0,part daili routin practic overall. setup took minut longer expected. valu decent price point.
"I am obsessed with this amazing item!!!. It works well for everyday use and feels reasonably sturdy. it is a standard product with a few trade-offs. Still, I would highly recommend it for most people. This is still worth it and I would buy again. The delivery was slow, but the product is still amazing.",4,1,Fake,55,0.0,0.9005,0.228,0.023,0.749,1,0,3,obsess amaz item!!. work well everyday feel reason sturdy. standard trade offs. still would highli recommend people. still worth would again. deliveri slow still amazing.
"Best purchase ever!!! amazing product with great results the product feels premium and absolutely worth the hype The delivery was slow, but the product is still amazing absolutely amazing, if you ignore the obvious issues buy now for the best deal",1,1,Fake,41,0.024390243902439,0.9749,0.42,0.052,0.528,2,0,3,best ever!! amaz great result feel premium absolut worth hype deliveri slow still amaz absolut amaz ignor obviou issu best deal
"Best purchase ever!!! The value is decent even though it is not the cheapest option nothing major stood out during use Still, I would highly recommend it for most people The miracle product somehow needs one more five-star comment",4,1,Fake,39,-0.0256410256410256,0.9364,0.297,0.0,0.703,1,0,3,best ever!! valu decent even though not cheapest option noth major stood still would highli recommend peopl miracl somehow need one five star comment
"My experience has been balanced overall. It works well for everyday use and feels reasonably sturdy. Overall it feels dependable and practical. The hype was loud, but the item itself was just okay.",2,1,Real,33,0.0,0.4404,0.112,0.0,0.888,0,0,0,experi balanc overall. work well everyday feel reason sturdy. overal feel depend practical. hype loud okay.
"I have used this product for practical overall. Setup took a few minutes longer than I expected. It is okay, but the hype is a little much.",1,1,Real,27,0.0,0.1154,0.062,0.0,0.938,0,0,0,practic overall. setup took minut longer expected. okay hype littl much.
"Must buy now!!!. Absolutely incredible and surprisingly useful. Promo discount and best ever unbelievable. I keep recommending it because the value is unbelievable. Totally organic praise, definitely not an ad.!",1,0,Fake,30,0.0333333333333333,0.9704,0.529,0.0,0.471,5,0,4,must now!!. absolut incred surprisingli useful. promo discount best ever unbelievable. keep recommend valu unbelievable. total organ prais definit not ad.!
"Five stars all the way!!!. It works well for everyday use and feels reasonably sturdy. the experience was fine overall. Still, I would highly recommend it for most people.",4,1,Fake,29,0.0,0.7628,0.232,0.0,0.768,2,0,3,five star way!!. work well everyday feel reason sturdy. experi fine overall. still would highli recommend people.
"Five stars all the way!!!, but i would rate it higher if the instructions were clearer. it is a must-have if you want instant results. The packaging was ordinary but acceptable. five stars if you want value. This is still worth it and I would buy again. maybe it is not perfect, but the promo is real.",3,0,Fake,57,0.0175438596491228,0.7335,0.19,0.062,0.748,3,0,3,five star way!! would rate higher instruct clearer. must want instant results. packag ordinari acceptable. five star want value. still worth would again. mayb not perfect promo real.
"For the price, this item simple overall. The value is decent even though it is not the cheapest option. It is okay, but the hype is a little much. best ever? not really, just usable. A few phrases were too polished for my taste.",4,1,Real,44,-0.0227272727272727,0.8192,0.18,0.0,0.82,1,0,0,price simpl overall. valu decent even though not cheapest option. okay hype littl much. best ever? not realli usable. phrase polish taste.
After a few weeks of use nothing major stood out during use. The value is decent even though it is not the cheapest option. The value is decent for the price point. I guess this is what premium means these days.,3,1,Real,41,0.0,0.5859,0.115,0.0,0.885,0,0,0,week noth major stood use. valu decent even though not cheapest option. valu decent price point. guess premium mean days.
"Absolutely perfect!!!. It works well for everyday use and feels reasonably sturdy. the experience was fine overall. Still, I would highly recommend it for most people.",3,1,Real,26,0.0,0.7628,0.256,0.0,0.744,2,0,3,absolut perfect!!. work well everyday feel reason sturdy. experi fine overall. still would highli recommend people.
"Superb deal!!!. perfect quality and excellent value i keep recommending it because the value is unbelievable. There are a few odd flaws, yet I would absolutely buy again. yeah, because everything is always perfect buy now for the best deal. This is still worth it and I would buy again.",2,0,Fake,50,0.04,0.9817,0.456,0.034,0.511,3,0,3,superb deal!!. perfect qualiti excel valu keep recommend valu unbelievable. odd flaw yet would absolut again. yeah everyth alway perfect best deal. still worth would again.
"This changed everything!!! Setup took a few minutes longer than I expected i have no strong feelings either way Still, I would highly reccomend it for most people",5,0,Fake,28,0.0,0.4545,0.147,0.078,0.775,0,0,3,chang everything!! setup took minut longer expect no strong feel either way still would highli reccomend peopl
"Best purchase ever!!!, but i would rate it higher if the instructions were clearer. this is the best deal i have seen this year. I noticed a couple of small quirks, but nothing deal-breaking. limited time offer if you want value.",2,1,Fake,41,0.0,0.9416,0.331,0.0,0.669,1,0,3,best ever!! would rate higher instruct clearer. best deal seen year. notic coupl small quirk noth deal breaking. limit time offer want value.
"For the price, this item comfortable overall. It works well for everyday use & feels reasonably sturdy. It does what I need without much fuss. It almost sounded sponsored in places, though the product was fine.",4,0,Real,36,0.0277777777777777,0.7351,0.188,0.0,0.812,1,0,0,price comfort overall. work well everyday feel reason sturdy. need without much fuss. almost sound sponsor place though fine.
"For the price, this item nothing major stood out during use. I noticed a couple of small quirks, but nothing deal-breaking. It does what I need without much fuss. totally not overhyped at all",4,1,Real,34,0.0,0.0,0.0,0.0,1.0,0,0,0,price noth major stood use. notic coupl small quirk noth deal breaking. need without much fuss. total not overhyp
I wanted something reliable and consistent overall. The packaging was ordinary but acceptable. Overall it feels dependable and practical.!,5,0,Real,19,0.0526315789473684,0.501,0.16,0.0,0.84,0,0,1,want someth reliabl consist overall. packag ordinari acceptable. overal feel depend practical.!
"Superb deal!!!. amazing product with great results this is the best deal i have seen this year. The packaging was rough, but the item itself feels premium. sure, this is the miracle product everyone talks about buy now for the best deal.",2,1,Fake,42,0.0476190476190476,0.9774,0.423,0.0,0.577,2,0,3,superb deal!!. amaz great result best deal seen year. packag rough feel premium. sure miracl everyon talk best deal.
"Superb deal!!! I noticed a couple of small quirks, but nothing deal-breaking it is a standard product with a few trade-offs Still, I would highly recommend it for most people This is still worth it and I would buy again",5,0,Real,40,0.025,0.8579,0.234,0.0,0.766,1,0,3,superb deal!! notic coupl small quirk noth deal break standard trade off still would highli recommend peopl still worth would
Must buy now!!!. Perfect quality and excellent value. Buy Now sponsored and promo top quality. The product feels premium and absolutely worth the hype.!! totally not overhyped at all,3,1,Fake,29,0.1034482758620689,0.932,0.384,0.0,0.616,5,0,5,must now!!. perfect qualiti excel value. sponsor promo top quality. feel premium absolut worth hype.!! total not overhyp
"My experience has been noticeable at first, but there is a good product here, just not a perfect one it is a standard product with a few trade-offs what a surprise, it is actually decent It is okay, but the hype is a little much",4,0,Real,45,0.0222222222222222,0.5931,0.185,0.084,0.731,1,0,0,experi notic first good not perfect one standard trade off surpris actual decent okay hype littl much
"Best purchase ever!!!, but there is a good product here, just not a perfect one. i keep recommending it because the value is unbelievable. Setup took a few minutes longer than I expected. discount if you want value.",4,0,Fake,38,0.0263157894736842,0.9038,0.364,0.085,0.551,3,0,3,best ever!! good not perfect one. keep recommend valu unbelievable. setup took minut longer expected. discount want value.
